img,sigma,k,h,a,mu,lam,dtheta,dt,iters,psnr,ssim,score,log_path
man.tiff,10,0.25,0.08,0.08,5.0,1.0,2.0,0.05,8,31.156280646330888,0.8453894574695953,0.8617276664496131,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.08,5.0,1.2,2.0,0.05,8,31.11769596925697,0.8446484678003748,0.8533070127879494,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.08,5.0,1.0,2.0,0.05,10,31.04625149925418,0.8455227134266033,0.8392874923616951,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.08,5.0,1.2,2.0,0.05,10,31.025802568312496,0.8450681376747095,0.834781444188977,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.08,5.0,1.0,2.0,0.05,12,30.860096883539512,0.8433580912760094,0.7996486646683825,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.08,5.0,1.2,2.0,0.05,12,30.859024799850786,0.8432117852107267,0.7993266927115671,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.08,5.0,1.0,2.0,0.05,14,30.640724408167294,0.8399639714961284,0.7523463267765513,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.08,5.0,1.2,2.0,0.05,14,30.658388826754873,0.8401277562275604,0.7560785661648661,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.1,5.0,1.0,2.0,0.05,6,31.117211706520663,0.8413624381545393,0.8509076172987788,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.1,5.0,1.2,2.0,0.05,6,31.06706106017912,0.8405123452381807,0.8400419351053205,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.1,5.0,1.0,2.0,0.05,8,31.165149363988075,0.8461311631853093,0.8640631322303598,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.1,5.0,1.2,2.0,0.05,8,31.127935228220686,0.84551830357276,0.8560128500397706,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.1,5.0,1.2,2.0,0.05,10,31.03811786754872,0.8461830088531384,0.8380839695357044,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.1,5.0,1.0,2.0,0.05,12,30.8726760638978,0.8445653529952468,0.8030699050098077,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.1,5.0,1.2,2.0,0.05,12,30.872853568148262,0.8445512313237378,0.8030963718777079,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.1,5.0,1.0,2.0,0.05,14,30.6545361420918,0.8413867483162839,0.7561708488780043,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.1,5.0,1.2,2.0,0.05,14,30.673304986959835,0.841672995792361,0.7602149935097801,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.12,5.0,1.0,2.0,0.05,6,31.13596149517769,0.8427176481619552,0.8556961330798554,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.12,5.0,1.2,2.0,0.05,6,31.086931989630955,0.8419773559129514,0.8451369157298989,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.12,5.0,1.0,2.0,0.05,8,31.19028279760258,0.8480513229725567,0.8705544534037615,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.12,5.0,1.2,2.0,0.05,8,31.15384135170619,0.8475341799381652,0.8627294160793597,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.12,5.0,1.0,2.0,0.05,10,31.086729877827946,0.8489114885752873,0.8499494170442312,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.12,5.0,1.2,2.0,0.05,10,31.067895582254334,0.8486504409564121,0.8459095083149744,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.12,5.0,1.0,2.0,0.05,12,30.90495704113128,0.8473886459843287,0.8116572028339396,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.12,5.0,1.2,2.0,0.05,12,30.904867623322758,0.847383117269933,0.8116350203860688,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.12,5.0,1.0,2.0,0.05,14,30.688417619776317,0.8445580779335626,0.7653295473275097,results/sweeps/man_sigma10\metrics.jsonl
